,Date,Close,Gross_Profit,ROE
1293,2016-01-19,24.165001,30423,0.43
1294,2016-01-20,24.1975,30423,0.43
1295,2016-01-21,24.075001,30423,0.43
1296,2016-01-22,25.355,30423,0.43
1297,2016-01-25,24.860001,30423,0.43
1298,2016-01-26,24.997499,30423,0.43
1299,2016-01-27,23.355,30423,0.43
1300,2016-01-28,23.522499,30423,0.43
1301,2016-01-29,24.334999,30423,0.43
1302,2016-02-01,24.1075,30423,0.43
1303,2016-02-02,23.620001,30423,0.43
1304,2016-02-03,24.0875,30423,0.43
1305,2016-02-04,24.15,30423,0.43
1306,2016-02-05,23.504999,30423,0.43
1307,2016-02-08,23.752501,30423,0.43
1308,2016-02-09,23.747499,30423,0.43
1309,2016-02-10,23.567499,30423,0.43
1310,2016-02-11,23.424999,30423,0.43
1311,2016-02-12,23.497499,30423,0.43
1312,2016-02-16,24.16,30423,0.43
1313,2016-02-17,24.530001,30423,0.43
1314,2016-02-18,24.065001,30423,0.43
1315,2016-02-19,24.01,30423,0.43
1316,2016-02-22,24.219999,30423,0.43
1317,2016-02-23,23.672501,30423,0.43
1318,2016-02-24,24.025,30423,0.43
1319,2016-02-25,24.190001,30423,0.43
1320,2016-02-26,24.227501,30423,0.43
1321,2016-02-29,24.172501,30423,0.43
1322,2016-03-01,25.1325,30423,0.43
1323,2016-03-02,25.1875,30423,0.43
1324,2016-03-03,25.375,30423,0.43
1325,2016-03-04,25.752501,30423,0.43
1326,2016-03-07,25.467501,30423,0.43
1327,2016-03-08,25.2575,30423,0.43
1328,2016-03-09,25.280001,30423,0.43
1329,2016-03-10,25.2925,30423,0.43
1330,2016-03-11,25.565001,30423,0.43
1331,2016-03-14,25.629999,30423,0.43
1332,2016-03-15,26.145,30423,0.43
1333,2016-03-16,26.4925,30423,0.43
1334,2016-03-17,26.450001,30423,0.43
1335,2016-03-18,26.48,30423,0.43
1336,2016-03-21,26.477501,30423,0.43
1337,2016-03-22,26.68,30423,0.43
1338,2016-03-23,26.532499,30423,0.43
1339,2016-03-24,26.4175,30423,0.43
1340,2016-03-28,26.297501,30423,0.43
1341,2016-03-29,26.92,30423,0.43
1342,2016-03-30,27.389999,30423,0.43
1343,2016-03-31,27.247499,19921,0.4
1344,2016-04-01,27.497499,19921,0.4
1345,2016-04-04,27.780001,19921,0.4
1346,2016-04-05,27.452499,19921,0.4
1347,2016-04-06,27.74,19921,0.4
1348,2016-04-07,27.135,19921,0.4
1349,2016-04-08,27.165001,19921,0.4
1350,2016-04-11,27.254999,19921,0.4
1351,2016-04-12,27.610001,19921,0.4
1352,2016-04-13,28.01,19921,0.4
1353,2016-04-14,28.025,19921,0.4
1354,2016-04-15,27.4625,19921,0.4
1355,2016-04-18,26.870001,19921,0.4
1356,2016-04-19,26.727501,19921,0.4
1357,2016-04-20,26.782499,19921,0.4
1358,2016-04-21,26.4925,19921,0.4
1359,2016-04-22,26.42,19921,0.4
1360,2016-04-25,26.27,19921,0.4
1361,2016-04-26,26.0875,19921,0.4
1362,2016-04-27,24.455,19921,0.4
1363,2016-04-28,23.7075,19921,0.4
1364,2016-04-29,23.434999,19921,0.4
1365,2016-05-02,23.41,19921,0.4
1366,2016-05-03,23.795,19921,0.4
1367,2016-05-04,23.547501,19921,0.4
1368,2016-05-05,23.309999,19921,0.4
1369,2016-05-06,23.18,19921,0.4
1370,2016-05-09,23.1975,19921,0.4
