Date,Close,Gross_Profit,ROE,ROI,PE_ratio,PS_ratio
4/24/14,20.2775,17947,0.3,,11.37,2.45
4/25/14,20.42643,17947,0.3,,11.37,2.45
4/28/14,21.217501,17947,0.3,,11.37,2.45
4/29/14,21.154642,17947,0.3,,11.37,2.45
4/30/14,21.074642,17947,0.3,,11.37,2.45
5/1/14,21.124287,17947,0.3,,11.37,2.45
5/2/14,21.16357,17947,0.3,,11.37,2.45
5/5/14,21.462856,17947,0.3,,11.37,2.45
5/6/14,21.22893,17947,0.3,,11.37,2.45
5/7/14,21.154642,17947,0.3,,11.37,2.45
5/8/14,20.999643,17947,0.3,,11.37,2.45
5/9/14,20.912144,17947,0.3,,11.37,2.45
5/12/14,21.172501,17947,0.3,,11.37,2.45
5/13/14,21.205713,17947,0.3,,11.37,2.45
5/14/14,21.209642,17947,0.3,,11.37,2.45
5/15/14,21.029285,17947,0.3,,11.37,2.45
5/16/14,21.339643,17947,0.3,,11.37,2.45
5/19/14,21.592501,17947,0.3,,11.37,2.45
5/20/14,21.596786,17947,0.3,,11.37,2.45
5/21/14,21.653929,17947,0.3,,11.37,2.45
5/22/14,21.688213,17947,0.3,,11.37,2.45
5/23/14,21.933214,17947,0.3,,11.37,2.45
5/27/14,22.343929,17947,0.3,,11.37,2.45
5/28/14,22.286072,17947,0.3,,11.37,2.45
5/29/14,22.692142,17947,0.3,,11.37,2.45
5/30/14,22.607143,17947,0.3,,11.37,2.45
6/2/14,22.451786,17947,0.3,,11.37,2.45
6/3/14,22.769285,17947,0.3,,11.37,2.45
6/4/14,23.029285,17947,0.3,,11.37,2.45
6/5/14,23.119642,17947,0.3,,11.37,2.45
6/6/14,23.05607,17947,0.3,,11.37,2.45
6/9/14,23.424999,17947,0.3,,11.37,2.45
6/10/14,23.5625,17947,0.3,,11.37,2.45
6/11/14,23.465,17947,0.3,,11.37,2.45
6/12/14,23.0725,17947,0.3,,11.37,2.45
6/13/14,22.82,17947,0.3,,11.37,2.45
6/16/14,23.049999,17947,0.3,,11.37,2.45
6/17/14,23.02,17947,0.3,,11.37,2.45
6/18/14,23.045,17947,0.3,,11.37,2.45
6/19/14,22.965,17947,0.3,,11.37,2.45
6/20/14,22.727501,17947,0.3,,11.37,2.45
6/23/14,22.7075,17947,0.3,,11.37,2.45
6/24/14,22.57,17947,0.3,,11.37,2.45
6/25/14,22.59,17947,0.3,,11.37,2.45
6/26/14,22.725,17947,0.3,,11.37,2.45
6/27/14,22.995001,17947,0.3,,11.37,2.45
6/30/14,23.2325,14735,0.31,,13.38,2.91
7/1/14,23.379999,14735,0.31,,13.38,2.91
7/2/14,23.370001,14735,0.31,,13.38,2.91
7/3/14,23.5075,14735,0.31,,13.38,2.91
7/7/14,23.9925,14735,0.31,,13.38,2.91
7/8/14,23.8375,14735,0.31,,13.38,2.91
7/9/14,23.8475,14735,0.31,,13.38,2.91
7/10/14,23.76,14735,0.31,,13.38,2.91
7/11/14,23.805,14735,0.31,,13.38,2.91
7/14/14,24.112499,14735,0.31,,13.38,2.91
7/15/14,23.83,14735,0.31,,13.38,2.91
7/16/14,23.695,14735,0.31,,13.38,2.91
7/17/14,23.272499,14735,0.31,,13.38,2.91
7/18/14,23.6075,14735,0.31,,13.38,2.91
7/21/14,23.485001,14735,0.31,,13.38,2.91
7/22/14,23.68,14735,0.31,,13.38,2.91
7/23/14,24.297501,14735,0.31,,13.38,2.91
7/24/14,24.2575,14735,0.31,,13.38,2.91
7/25/14,24.4175,14735,0.31,,13.38,2.91
7/28/14,24.754999,14735,0.31,,13.38,2.91
7/29/14,24.594999,14735,0.31,,13.38,2.91
7/30/14,24.5375,14735,0.31,,13.38,2.91
7/31/14,23.9,14735,0.31,,13.38,2.91
8/1/14,24.032499,14735,0.31,,13.38,2.91
8/4/14,23.897499,14735,0.31,,13.38,2.91
8/5/14,23.780001,14735,0.31,,13.38,2.91
8/6/14,23.74,14735,0.31,,13.38,2.91
8/7/14,23.620001,14735,0.31,,13.38,2.91
8/8/14,23.684999,14735,0.31,,13.38,2.91
8/11/14,23.997499,14735,0.31,,13.38,2.91
8/12/14,23.9925,14735,0.31,,13.38,2.91
8/13/14,24.309999,14735,0.31,,13.38,2.91
8/14/14,24.375,14735,0.31,,13.38,2.91
8/15/14,24.495001,14735,0.31,,13.38,2.91
8/18/14,24.790001,14735,0.31,,13.38,2.91
8/19/14,25.1325,14735,0.31,,13.38,2.91
8/20/14,25.1425,14735,0.31,,13.38,2.91
8/21/14,25.145,14735,0.31,,13.38,2.91
8/22/14,25.33,14735,0.31,,13.38,2.91
8/25/14,25.385,14735,0.31,,13.38,2.91
8/26/14,25.2225,14735,0.31,,13.38,2.91
8/27/14,25.532499,14735,0.31,,13.38,2.91
8/28/14,25.5625,14735,0.31,,13.38,2.91
8/29/14,25.625,14735,0.31,,13.38,2.91
9/2/14,25.825001,14735,0.31,,13.38,2.91
9/3/14,24.735001,14735,0.31,,13.38,2.91
9/4/14,24.530001,14735,0.31,,13.38,2.91
9/5/14,24.7425,14735,0.31,,13.38,2.91
9/8/14,24.59,14735,0.31,,13.38,2.91
