,Date,Close,tnote,tbill,Fed_rate,GDP,GDP_growth,CPI
2448,2020-08-19,115.707497,0.68,0.13,0.09,21362.428,-3.4045897,259.58
2449,2020-08-20,118.275002,0.65,0.12,0.09,21362.428,-3.4045897,259.58
2450,2020-08-21,124.370003,0.64,0.13,0.09,21362.428,-3.4045897,259.58
2451,2020-08-24,125.857498,0.65,0.14,0.09,21362.428,-3.4045897,259.58
2452,2020-08-25,124.824997,0.69,0.13,0.09,21362.428,-3.4045897,259.58
2453,2020-08-26,126.522499,0.69,0.12,0.09,21362.428,-3.4045897,259.58
2454,2020-08-27,125.010002,0.74,0.13,0.08,21362.428,-3.4045897,259.58
2455,2020-08-28,124.807503,0.74,0.12,0.09,21362.428,-3.4045897,259.58
2456,2020-08-31,129.039993,0.72,0.12,0.09,21362.428,-3.4045897,259.58
2457,2020-09-01,134.179993,0.68,0.12,0.09,21362.428,-3.4045897,260.19
2458,2020-09-02,131.399994,0.66,0.13,0.09,21362.428,-3.4045897,260.19
2459,2020-09-03,120.879997,0.63,0.12,0.09,21362.428,-3.4045897,260.19
2460,2020-09-04,120.959999,0.72,0.13,0.09,21362.428,-3.4045897,260.19
2461,2020-09-08,112.82,0.69,0.15,0.09,21362.428,-3.4045897,260.19
2462,2020-09-09,117.32,0.71,0.14,0.09,21362.428,-3.4045897,260.19
2463,2020-09-10,113.489998,0.68,0.15,0.09,21362.428,-3.4045897,260.19
2464,2020-09-11,112.0,0.67,0.13,0.09,21362.428,-3.4045897,260.19
2465,2020-09-14,115.360001,0.68,0.14,0.09,21362.428,-3.4045897,260.19
2466,2020-09-15,115.540001,0.68,0.13,0.09,21362.428,-3.4045897,260.19
2467,2020-09-16,112.129997,0.69,0.12,0.09,21362.428,-3.4045897,260.19
2468,2020-09-17,110.339996,0.69,0.12,0.09,21362.428,-3.4045897,260.19
2469,2020-09-18,106.839996,0.7,0.13,0.09,21362.428,-3.4045897,260.19
2470,2020-09-21,110.080002,0.68,0.12,0.09,21362.428,-3.4045897,260.19
2471,2020-09-22,111.809998,0.68,0.12,0.09,21362.428,-3.4045897,260.19
2472,2020-09-23,107.120003,0.68,0.13,0.09,21362.428,-3.4045897,260.19
2473,2020-09-24,108.220001,0.67,0.12,0.09,21362.428,-3.4045897,260.19
2474,2020-09-25,112.279999,0.66,0.12,0.09,21362.428,-3.4045897,260.19
2475,2020-09-28,114.959999,0.67,0.12,0.09,21362.428,-3.4045897,260.19
2476,2020-09-29,114.089996,0.66,0.12,0.09,21362.428,-3.4045897,260.19
2477,2020-09-30,115.809998,0.69,0.12,0.09,21362.428,-3.4045897,260.19
2478,2020-10-01,116.790001,0.68,0.12,0.09,21704.706,-3.4045897,260.352
2479,2020-10-02,113.019997,0.7,0.12,0.09,21704.706,-3.4045897,260.352
2480,2020-10-05,116.5,0.78,0.12,0.09,21704.706,-3.4045897,260.352
2481,2020-10-06,113.160004,0.76,0.14,0.09,21704.706,-3.4045897,260.352
2482,2020-10-07,115.080002,0.81,0.13,0.09,21704.706,-3.4045897,260.352
2483,2020-10-08,114.970001,0.78,0.13,0.09,21704.706,-3.4045897,260.352
2484,2020-10-09,116.970001,0.79,0.15,0.09,21704.706,-3.4045897,260.352
2485,2020-10-12,124.400002,0.79,0.15,0.09,21704.706,-3.4045897,260.352
2486,2020-10-13,121.099998,0.74,0.13,0.09,21704.706,-3.4045897,260.352
2487,2020-10-14,121.190002,0.73,0.13,0.09,21704.706,-3.4045897,260.352
2488,2020-10-15,120.709999,0.74,0.12,0.09,21704.706,-3.4045897,260.352
2489,2020-10-16,119.019997,0.76,0.12,0.09,21704.706,-3.4045897,260.352
2490,2020-10-19,115.980003,0.78,0.13,0.09,21704.706,-3.4045897,260.352
2491,2020-10-20,117.510002,0.81,0.13,0.09,21704.706,-3.4045897,260.352
2492,2020-10-21,116.870003,0.83,0.13,0.09,21704.706,-3.4045897,260.352
2493,2020-10-22,115.75,0.87,0.13,0.09,21704.706,-3.4045897,260.352
2494,2020-10-23,115.040001,0.85,0.12,0.09,21704.706,-3.4045897,260.352
2495,2020-10-26,115.050003,0.81,0.12,0.09,21704.706,-3.4045897,260.352
2496,2020-10-27,116.599998,0.79,0.12,0.09,21704.706,-3.4045897,260.352
2497,2020-10-28,111.199997,0.79,0.12,0.09,21704.706,-3.4045897,260.352
2498,2020-10-29,115.32,0.85,0.12,0.09,21704.706,-3.4045897,260.352
2499,2020-10-30,108.860001,0.88,0.13,0.09,21704.706,-3.4045897,260.352
2500,2020-11-02,108.769997,0.87,0.13,0.09,21704.706,-3.4045897,260.721
2501,2020-11-03,110.440002,0.9,0.14,0.09,21704.706,-3.4045897,260.721
2502,2020-11-04,114.949997,0.78,0.12,0.09,21704.706,-3.4045897,260.721
2503,2020-11-05,119.029999,0.79,0.12,0.09,21704.706,-3.4045897,260.721
2504,2020-11-06,118.690002,0.83,0.12,0.09,21704.706,-3.4045897,260.721
2505,2020-11-09,116.32,0.96,0.12,0.09,21704.706,-3.4045897,260.721
2506,2020-11-10,115.970001,0.98,0.12,0.09,21704.706,-3.4045897,260.721
2507,2020-11-11,119.489998,0.98,0.12,0.09,21704.706,-3.4045897,260.721
2508,2020-11-12,119.209999,0.88,0.13,0.09,21704.706,-3.4045897,260.721
2509,2020-11-13,119.260002,0.89,0.12,0.09,21704.706,-3.4045897,260.721
2510,2020-11-16,120.300003,0.91,0.12,0.09,21704.706,-3.4045897,260.721
2511,2020-11-17,119.389999,0.87,0.12,0.09,21704.706,-3.4045897,260.721
2512,2020-11-18,118.029999,0.88,0.11,0.09,21704.706,-3.4045897,260.721
2513,2020-11-19,118.639999,0.86,0.11,0.08,21704.706,-3.4045897,260.721
2514,2020-11-20,117.339996,0.83,0.11,0.08,21704.706,-3.4045897,260.721
