Date, Dow_Jones
5/6/11,12638.74
5/9/11,12684.68
5/10/11,12760.36
5/11/11,12630.03
5/12/11,12695.92
5/13/11,12595.75
5/16/11,12548.37
5/17/11,12479.58
5/18/11,12560.18
5/19/11,12605.32
5/20/11,12512.04
5/23/11,12381.26
5/24/11,12356.21
5/25/11,12394.66
5/26/11,12402.76
5/27/11,12441.58
5/31/11,12569.79
6/1/11,12290.14
6/2/11,12248.55
6/3/11,12151.26
6/6/11,12089.96
6/7/11,12070.81
6/8/11,12048.94
6/9/11,12124.36
6/10/11,11951.91
6/13/11,11952.97
6/14/11,12076.11
6/15/11,11897.27
6/16/11,11961.52
6/17/11,12004.36
6/20/11,12080.38
6/21/11,12190.01
6/22/11,12109.67
6/23/11,12050
6/24/11,11934.58
6/27/11,12043.56
6/28/11,12188.69
6/29/11,12261.42
6/30/11,12414.34
7/1/11,12582.77
7/5/11,12569.87
7/6/11,12626.02
7/7/11,12719.49
7/8/11,12657.2
7/11/11,12505.76
7/12/11,12446.88
7/13/11,12491.61
7/14/11,12437.12
7/15/11,12479.73
7/18/11,12385.16
7/19/11,12587.42
7/20/11,12571.91
7/21/11,12724.41
7/22/11,12681.16
7/25/11,12592.8
7/26/11,12501.3
7/27/11,12302.55
7/28/11,12240.11
7/29/11,12143.24
8/1/11,12132.49
8/2/11,11866.62
8/3/11,11896.44
8/4/11,11383.68
8/5/11,11444.61
8/8/11,10809.85
8/9/11,11239.77
8/10/11,10719.94
8/11/11,11143.31
8/12/11,11269.02
8/15/11,11482.9
8/16/11,11405.93
8/17/11,11410.21
8/18/11,10990.58
8/19/11,10817.65
8/22/11,10854.65
8/23/11,11176.76
8/24/11,11320.71
8/25/11,11149.82
8/26/11,11284.54
8/29/11,11539.25
8/30/11,11559.95
8/31/11,11613.53
9/1/11,11493.57
9/2/11,11240.26
9/6/11,11139.3
9/7/11,11414.86
9/8/11,11295.81
9/9/11,10992.13
9/12/11,11061.12
9/13/11,11105.85
9/14/11,11246.73
9/15/11,11433.18
9/16/11,11509.09
9/19/11,11401.01
